Handle,Title,Body (HTML),Vendor,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,Status
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"3""x5"" (7.6x12.7cm)",Beam Lenght,6ft (182.9cm),MantleBeam2-15,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"3""x5"" (7.6x12.7cm)",Beam Lenght,6.5ft (198.1cm),MantleBeam2-16,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"3""x6"" (7.6x15.2cm)",Beam Lenght,3ft (91.4cm),MantleBeam2-17,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"3""x6"" (7.6x15.2cm)",Beam Lenght,3.5ft (106.7cm),MantleBeam2-18,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"3""x6"" (7.6x15.2cm)",Beam Lenght,4ft (121.9cm),MantleBeam2-19,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"3""x6"" (7.6x15.2cm)",Beam Lenght,4.5ft (137.2cm),MantleBeam2-20,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"3""x6"" (7.6x15.2cm)",Beam Lenght,5ft (152.4cm),MantleBeam2-21,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"3""x6"" (7.6x15.2cm)",Beam Lenght,5.5ft (167.6cm),MantleBeam2-22,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"3""x6"" (7.6x15.2cm)",Beam Lenght,6ft (182.9cm),MantleBeam2-23,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"3""x6"" (7.6x15.2cm)",Beam Lenght,6.5ft (198.1cm),MantleBeam2-24,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"4""x4"" (10.2x10.2cm)",Beam Lenght,3ft (91.4cm),MantleBeam2-25,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"4""x4"" (10.2x10.2cm)",Beam Lenght,3.5ft (106.7cm),MantleBeam2-26,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"4""x4"" (10.2x10.2cm)",Beam Lenght,4ft (121.9cm),MantleBeam2-27,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"4""x4"" (10.2x10.2cm)",Beam Lenght,4.5ft (137.2cm),MantleBeam2-28,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"4""x4"" (10.2x10.2cm)",Beam Lenght,5ft (152.4cm),MantleBeam2-29,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"4""x4"" (10.2x10.2cm)",Beam Lenght,5.5ft (167.6cm),MantleBeam2-30,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"4""x4"" (10.2x10.2cm)",Beam Lenght,6ft (182.9cm),MantleBeam2-31,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"4""x4"" (10.2x10.2cm)",Beam Lenght,6.5ft (198.1cm),MantleBeam2-32,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"4""x5"" (10.2x12.7cm)",Beam Lenght,3ft (91.4cm),MantleBeam2-33,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"4""x5"" (10.2x12.7cm)",Beam Lenght,3.5ft (106.7cm),MantleBeam2-34,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"4""x5"" (10.2x12.7cm)",Beam Lenght,4ft (121.9cm),MantleBeam2-35,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"4""x5"" (10.2x12.7cm)",Beam Lenght,4.5ft (137.2cm),MantleBeam2-36,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"4""x5"" (10.2x12.7cm)",Beam Lenght,5ft (152.4cm),MantleBeam2-37,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"4""x5"" (10.2x12.7cm)",Beam Lenght,5.5ft (167.6cm),MantleBeam2-38,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"4""x5"" (10.2x12.7cm)",Beam Lenght,6ft (182.9cm),MantleBeam2-39,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"4""x5"" (10.2x12.7cm)",Beam Lenght,6.5ft (198.1cm),MantleBeam2-40,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"4""x6"" (10.2x15.2cm)",Beam Lenght,3ft (91.4cm),MantleBeam2-41,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"4""x6"" (10.2x15.2cm)",Beam Lenght,3.5ft (106.7cm),MantleBeam2-42,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"4""x6"" (10.2x15.2cm)",Beam Lenght,4ft (121.9cm),MantleBeam2-43,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"4""x6"" (10.2x15.2cm)",Beam Lenght,4.5ft (137.2cm),MantleBeam2-44,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"4""x6"" (10.2x15.2cm)",Beam Lenght,5ft (152.4cm),MantleBeam2-45,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"4""x6"" (10.2x15.2cm)",Beam Lenght,5.5ft (167.6cm),MantleBeam2-46,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"4""x6"" (10.2x15.2cm)",Beam Lenght,6ft (182.9cm),MantleBeam2-47,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"4""x6"" (10.2x15.2cm)",Beam Lenght,6.5ft (198.1cm),MantleBeam2-48,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"5""x3"" (12.7x7.6cm)",Beam Lenght,3ft (91.4cm),MantleBeam2-49,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"5""x3"" (12.7x7.6cm)",Beam Lenght,3.5ft (106.7cm),MantleBeam2-50,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"5""x3"" (12.7x7.6cm)",Beam Lenght,4ft (121.9cm),MantleBeam2-51,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"5""x3"" (12.7x7.6cm)",Beam Lenght,4.5ft (137.2cm),MantleBeam2-52,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"5""x3"" (12.7x7.6cm)",Beam Lenght,5ft (152.4cm),MantleBeam2-53,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"5""x3"" (12.7x7.6cm)",Beam Lenght,5.5ft (167.6cm),MantleBeam2-54,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"5""x3"" (12.7x7.6cm)",Beam Lenght,6ft (182.9cm),MantleBeam2-55,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"5""x3"" (12.7x7.6cm)",Beam Lenght,6.5ft (198.1cm),MantleBeam2-56,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"5""x4"" (12.7x10.2cm)",Beam Lenght,3ft (91.4cm),MantleBeam2-57,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"5""x4"" (12.7x10.2cm)",Beam Lenght,3.5ft (106.7cm),MantleBeam2-58,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
